,번호,제목,글쓴이,날짜,조회수,링크
0,65,청현재 2019년 9월 2/3차생 추가실원 모집안내,행정실,2019-08-28,1026,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12191&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=1
1,64,2019년 하계 청현재 신입실원 발표,행정실,2019-07-03,1584,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12087&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=1
2,63,2019년 Big 4 회계법인 신입공인회계사 채용설명회,행정실,2019-06-24,865,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12043&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=1
3,62,2019년 제2차 공인회계사 시험 도시락 배부 장소 안내,행정실,2019-06-24,246,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12041&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=1
4,61,2019년 공인회계사 제2차시험 도시락 지원 신청 공지-신청마감,행정실,2019-06-07,396,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12005&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=1
5,60,청현재 2019년 6월 신입실원 모집공고-신청마감,행정실,2019-05-13,4315,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11928&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=1
6,59,[딜로이트 안진] 2019년 방문상담회,행정실,2019-05-13,500,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11927&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=1
7,58,2019년 CPA 2차시험 대비 (전국)모의고사 응시안내​- 신청마감,행정실,2019-05-13,521,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11926&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=1
8,57,2019년 2차 시험대비 모의고사 일정 및 신청안내 (2019년 5월),행정실,2019-04-15,563,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11837&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=1
9,56,청현재 2019년 3월 입실원 명단 안내,행정실,2019-02-26,1801,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11686&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=1
