,번호,제목,글쓴이,날짜,조회수,링크
0,1136,2019학년도 2학기 재단법인 울산인재육성재단 장학생 선발 안내,행정실,2019-10-01,2,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12378&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
1,1135,2019학년도 2학기 (재)달서인재육성장학재단 장학생 선발 안내,행정실,2019-10-01,3,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12376&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
2,1134,2019학년도 제6회 (재)수림재단 동교인재상 후보자 선발 안내,행정실,2019-09-30,15,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12367&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
3,1133,2019학년도 금신장학재단 장학생 선발 안내,행정실,2019-09-30,15,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12366&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
4,1132,2019학년도 2학기 이영란장학 신규 장학생 선발 안내,행정실,2019-09-30,17,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12365&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
5,1131,2019년 하반기 전주시 대학생 학자금대출 이자 지원 사업 안내,행정실,2019-09-24,15,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12335&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
6,1130,2019 하나장학생 신청 안내(10.1.(화) 오후 5시까지),행정실,2019-09-20,203,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12316&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
7,1129,2019학년도 2학기 점프장학 신청 안내(~10.03.(목)까지)(기간 연장)                    댓글1개,행정실,2019-09-19,278,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12315&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
8,1128,2019학년도 2학기 재단법인 우덕재단 신규 장학생 선발 안내,행정실,2019-09-19,38,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12309&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
9,1127,2019학년도 2학기 재단법인 심명문화재단 신규 장학생 선발 안내,행정실,2019-09-19,26,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12308&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
10,1126,2019학년도 2학기 은평구민장학재단 장학생 선발 안내,행정실,2019-09-16,25,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12274&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
11,1125,2019학년도 (재)경주시장학회 장학생 선발 안내,행정실,2019-09-10,31,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12272&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
12,1124,2019학년도 제20기 앨트웰민초장학재단 장학생 선발 안내,행정실,2019-09-10,52,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12271&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
13,1123,2019-2학기 경희꿈도전장학 신청안내,행정실,2019-09-10,71,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12265&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
14,1122,2019-2학기 고시장학A 최종합격자 신청안내(~9.11.(수) 12:00PM까지)(연장),행정실,2019-09-06,143,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12250&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=1
