,번호,제목,글쓴이,날짜,조회수,링크
0,19,창업(현장)실습∙창업대체학점 신청 공고,행정실,2019-07-11,117,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12104&sca=%EC%B0%BD%EC%97%85&page=1
1,18,2019학년도 SW중심대학사업 [Start Up the Dream] 프로그램 안내,행정실,2019-06-27,182,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=12070&sca=%EC%B0%BD%EC%97%85&page=1
2,17,2019학년도 1학기 창업동아리 등록지원제,행정실,2019-05-24,139,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11975&sca=%EC%B0%BD%EC%97%85&page=1
3,16,"[LINC+] 2019학년도 1학기 창업대체학점(창업실습, 창업현장실습) 신청안내",행정실,2019-02-07,291,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11621&sca=%EC%B0%BD%EC%97%85&page=1
4,15,[LINC+] 2019학년도 1학기 창업준비휴학 및 창업휴학 신청안내,행정실,2019-02-07,151,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11619&sca=%EC%B0%BD%EC%97%85&page=1
5,14,[LINC+] 사업단 청년해결단 사업,행정실,2018-10-24,187,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11363&sca=%EC%B0%BD%EC%97%85&page=1
6,13,[LINC+] 2018 창업동아리 등록지원제 시행,행정실,2018-10-23,155,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11357&sca=%EC%B0%BD%EC%97%85&page=1
7,12,2018 제3회 청년창업리그 안내,행정실,2018-09-17,187,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11228&sca=%EC%B0%BD%EC%97%85&page=1
8,11,2018 산림분야 청년 창업 숲쿨 프로그램 안내,행정실,2018-08-30,145,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11126&sca=%EC%B0%BD%EC%97%85&page=1
9,10,2018학년도 2학기 창업대체학점 신청 공고,행정실,2018-07-27,348,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11047&sca=%EC%B0%BD%EC%97%85&page=1
10,9,2018 미래혁신원 OPEN-LAB 혁신창업프로그램 특강 안내,행정실,2018-03-29,252,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10758&sca=%EC%B0%BD%EC%97%85&page=1
11,8,2018학년도 창업대체학점 인정 신청안내(~2/2),행정실,2018-01-26,493,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10543&sca=%EC%B0%BD%EC%97%85&page=1
12,7,2017-2 SK 청년 飛上 프로그램 창업동아리 지원 선발,행정실,2017-09-12,421,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10275&sca=%EC%B0%BD%EC%97%85&page=1
13,6,창업관련 교과목 확대 안내,행정실,2017-09-04,448,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10004&sca=%EC%B0%BD%EC%97%85&page=1
14,5,2017학년도 2학기 창업대체학점 신청 공고,행정실,2017-07-31,604,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=8813&sca=%EC%B0%BD%EC%97%85&page=1
15,4,2017학년도 1학기 창업대체학점 신청 공고,행정실,2017-01-25,900,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=8428&sca=%EC%B0%BD%EC%97%85&page=2
16,3,2016학년도 2학기 창업대체학점 인정 신청 공고,행정실,2016-07-28,1286,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=8046&sca=%EC%B0%BD%EC%97%85&page=2
17,2,[SK청년비상] 경희대학교 창업경연대회,행정실,2016-06-24,2071,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7968&sca=%EC%B0%BD%EC%97%85&page=2
18,1,2016학년도 1학기 창업대체학점 인정 신청 공고,행정실,2016-02-11,3644,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7637&sca=%EC%B0%BD%EC%97%85&page=2
