,번호,제목,글쓴이,날짜,조회수,링크
0,1563,[서울][대외][~10.04] 2019학년도 이영란장학 장학생 선발 안내,관리자,2019.09.30,143,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1806&page=1
1,1562,★★★(10/1~10/3 24시까지)[서울][교내] 2019-2학기 우정장학(…,관리자,2019.09.30,262,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1805&page=1
2,1561,★★★(10/1~10/3 24시까지)[서울][교내] 2019-2학기 복학생 · …,관리자,2019.09.30,211,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1804&page=1
3,1560,[국제][대외][~10.7]2019년 하나금융나눔재단 국내 하나장학생 …,관리자,2019.09.27,396,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1802&page=1
4,1559,[공통][대외][~10.21 17시] 2020-1학기 제25기 미래에셋 해외 교…,관리자,2019.09.26,286,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1801&page=1
5,1558,★★(날짜변경~10/3까지)[서울][교내] 2019-2학기 점프장학 신청…,관리자,2019.09.25,465,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1800&page=1
6,1557,[국제][대외][~10.15]2019년 하반기 송화재단 장학생 선발안내,관리자,2019.09.24,319,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1797&page=1
7,1556,[공통][대외][~11.10] 2020년도 대산농촌재단 장학생 선발안내,관리자,2019.09.23,266,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1796&page=1
8,1555,[공통][대외][~10.04]2019년 금신장학재단 금신사랑장학생 선발…,관리자,2019.09.20,696,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1795&page=1
9,1554,[서울][대외][~10.08] 2019학년도 제16회 안중근 의사 장학생 선…,관리자,2019.09.20,350,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1794&page=1
10,1553,[공통]2019-2학기 중소기업 취업연계 장학사업(희망사다리1)신규…,관리자,2019.09.18,309,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1793&page=1
11,1552,[서울][대외][~9.23] 2019-2학기 우덕재단 신규 장학생 선발 안…,관리자,2019.09.18,262,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1792&page=1
