,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
0,공지,국제,국내대학간 학점교류 안내(국제캠퍼스 소속 학생 필독),교무처 학사지원과(국제),2015-11-24,12876,https://www.khu.ac.kr/kor/notice/detail.do?seq=104773&page=1&category=CREDIT
1,공지,공통,[필독]국내학점교류 게시판안내,교무처 학사지원과(국제),2014-02-26,10290,https://www.khu.ac.kr/kor/notice/detail.do?seq=100416&page=1&category=CREDIT
2,834,국제,[명지대학교] 2019학년도 2학기 경인지역 학점교류 ...,교무처 학사지원과(국제),2019-08-19,68,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129785&page=1&category=CREDIT
3,833,국제,[안양대학교] 2019학년도 2학기 경인지역 학점교류 ...,교무처 학사지원과(국제),2019-08-19,31,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129782&page=1&category=CREDIT
4,832,국제,[한세대학교] 2019학년도 2학기 경인지역 학점교류 ...,교무처 학사지원과(국제),2019-08-13,47,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129589&page=1&category=CREDIT
5,831,국제,[한국항공대학교] 2019학년도 2학기 경인지역 학점교...,교무처 학사지원과(국제),2019-08-12,81,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129500&page=1&category=CREDIT
6,830,국제,[수원대학교] 2019학년도 2학기 경인지역 학점교류 ...,교무처 학사지원과(국제),2019-08-09,80,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129437&page=1&category=CREDIT
7,829,국제,2019학년도 2학기 타대학소속 학점교류생 학번 안내 ...,교무처 학사지원과(국제),2019-08-08,142,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129390&page=1&category=CREDIT
8,828,서울,2019학년도 2학기 타대학소속 학점교류생 학번부여 안...,교무처 학사지원과(서울),2019-08-08,211,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129380&page=1&category=CREDIT
9,827,국제,[을지대학교] 2019학년도 2학기 경인지역 학점교류 ...,교무처 학사지원과(국제),2019-08-08,47,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129372&page=1&category=CREDIT
10,826,국제,[아주대학교] 2019학년도 2학기 경인지역 학점교류 ...,교무처 학사지원과(국제),2019-08-05,98,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129294&page=2&category=CREDIT
11,825,국제,[대진대학교] 2019학년도 2학기 경인지역 학점교류 ...,교무처 학사지원과(국제),2019-08-05,48,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129291&page=2&category=CREDIT
12,824,국제,[인천대학교] 2019학년도 2학기 경인지역 학점교류 ...,교무처 학사지원과(국제),2019-08-05,61,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129288&page=2&category=CREDIT
13,823,국제,[건국대학교] 2019학년도 2학기 학점교류 안내,교무처 학사지원과(국제),2019-07-25,238,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129089&page=2&category=CREDIT
14,822,국제,[상명대학교] 2019학년도 2학기 학점교류 안내,교무처 학사지원과(국제),2019-07-25,78,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129086&page=2&category=CREDIT
15,821,서울,[건국대학교] 2019학년도 2학기 학점교류 안내,교무처 학사지원과(서울),2019-07-25,201,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129082&page=2&category=CREDIT
16,820,서울,[상명대학교] 2019학년도 2학기 학점교류 안내,교무처 학사지원과(서울),2019-07-25,105,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129077&page=2&category=CREDIT
17,819,국제,[가천대학교] 2019학년도 2학기 경인지역 학점교류 ...,교무처 학사지원과(국제),2019-07-23,71,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129025&page=2&category=CREDIT
18,818,국제,[협성대학교] 2019학년도 2학기 경인지역 학점교류 ...,교무처 학사지원과(국제),2019-07-23,26,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129022&page=2&category=CREDIT
19,817,서울,[서울시립대학교] 2019학년도 2학기 학점교류 안내,교무처 학사지원과(서울),2019-07-22,293,https://www.khu.ac.kr/kor/notice/detail.do?seq=2128981&page=2&category=CREDIT
20,816,서울,[제주대학교] 2019학년도 2학기 학점교류 안내,교무처 학사지원과(서울),2019-07-22,207,https://www.khu.ac.kr/kor/notice/detail.do?seq=2128975&page=3&category=CREDIT
21,815,서울,[국민대학교] 2019학년도 2학기 학점교류 안내,교무처 학사지원과(서울),2019-07-22,146,https://www.khu.ac.kr/kor/notice/detail.do?seq=2128969&page=3&category=CREDIT
22,814,국제,[평택대학교] 2019학년도 2학기 경인지역 학점교류 ...,교무처 학사지원과(국제),2019-07-22,89,https://www.khu.ac.kr/kor/notice/detail.do?seq=2128965&page=3&category=CREDIT
23,813,국제,[단국대학교] 2019학년도 2학기 경인지역 학점교류 ...,교무처 학사지원과(국제),2019-07-22,108,https://www.khu.ac.kr/kor/notice/detail.do?seq=2128962&page=3&category=CREDIT
24,812,국제,[서울시립대학교] 2019학년도 2학기 학점교류 안내,교무처 학사지원과(국제),2019-07-22,86,https://www.khu.ac.kr/kor/notice/detail.do?seq=2128955&page=3&category=CREDIT
25,811,국제,[제주대학교] 2019학년도 2학기 학점교류 안내,교무처 학사지원과(국제),2019-07-22,100,https://www.khu.ac.kr/kor/notice/detail.do?seq=2128951&page=3&category=CREDIT
26,810,국제,[국민대학교] 2019학년도 2학기 학점교류 안내,교무처 학사지원과(국제),2019-07-22,83,https://www.khu.ac.kr/kor/notice/detail.do?seq=2128948&page=3&category=CREDIT
27,809,서울,[숙명여자대학교] 2019학년도 2학기 학점교류 안내(...,교무처 학사지원과(서울),2019-07-19,267,https://www.khu.ac.kr/kor/notice/detail.do?seq=2128922&page=3&category=CREDIT
