,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
0,공지,공통,『행사』 게시판 안내,관리자,2014-01-03,10273,https://www.khu.ac.kr/kor/notice/detail.do?seq=100035&page=1&category=EVENT
1,370,공통,2020 교육대학원 전기 석사과정 신입생 모집 안내,교육대학원,2019-09-27,19,https://www.khu.ac.kr/kor/notice/detail.do?seq=2131380&page=1&category=EVENT
2,369,공통,경희 구성원을 위한 뮤지컬 공연 전석 40% 특별할인 ...,대외협력처(서울),2019-09-16,290,https://www.khu.ac.kr/kor/notice/detail.do?seq=2130994&page=1&category=EVENT
3,368,공통,제151회 정기문화답사 안내 (2019 박물관 길 위의...,중앙박물관,2019-09-05,168,https://www.khu.ac.kr/kor/notice/detail.do?seq=2130703&page=1&category=EVENT
4,367,공통,[ 2019 경희대학교 취업박람회 ] 9/4(수) ~ ...,미래인재센터(국제),2019-09-02,302,https://www.khu.ac.kr/kor/notice/detail.do?seq=2130372&page=1&category=EVENT
5,366,공통,2019 교육대학원 후기 3차 신입생 재교육과정 추가모...,교육대학원,2019-08-13,139,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129613&page=1&category=EVENT
6,365,공통,개교 70주년 기념 ‘평화의 섬 순례’ 안내 및 참가자...,학생지원센터 학생지원팀(서울),2019-07-26,421,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129202&page=1&category=EVENT
7,364,공통,[중앙박물관] 국제학술발표회 <한국 기와 연구>,중앙박물관,2019-07-25,176,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129101&page=1&category=EVENT
8,363,서울,2019년도 서울지역 창업보육센터 연합 멘토링 프로그램,창업보육센터(서울),2019-07-24,252,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129034&page=1&category=EVENT
9,362,공통,[교육대학원] '미래 교육의 변화와 역량중심 교육 이해...,교육대학원,2019-06-28,278,https://www.khu.ac.kr/kor/notice/detail.do?seq=2128496&page=1&category=EVENT
10,361,공통,[교육대학원] 사립학교 교원임용 특강 안내,교육대학원,2019-06-19,375,https://www.khu.ac.kr/kor/notice/detail.do?seq=2127451&page=2&category=EVENT
11,360,공통,(수원시장상)수원시 지속가능한 스마트시티 리빙랩 아이디...,LINC+ 사업단,2019-06-14,432,https://www.khu.ac.kr/kor/notice/detail.do?seq=2127056&page=2&category=EVENT
12,359,공통,[중앙박물관] 제149회 정기문화답사 안내 2019년 ...,중앙박물관,2019-06-05,285,https://www.khu.ac.kr/kor/notice/detail.do?seq=2125021&page=2&category=EVENT
13,358,공통,2019년 아이디어 Build-Up 창업 아카데미 모집...,LINC+ 사업단,2019-06-03,377,https://www.khu.ac.kr/kor/notice/detail.do?seq=2124579&page=2&category=EVENT
14,357,공통,PBF 2019 영문 슬로건 공모전,미래문명원,2019-05-31,1486,https://www.khu.ac.kr/kor/notice/detail.do?seq=2124539&page=2&category=EVENT
15,356,공통,개교 70주년 및 세계환경의날 기념 기후변화센터 특강 ...,경희미래위원회사무국,2019-05-29,400,https://www.khu.ac.kr/kor/notice/detail.do?seq=2124247&page=2&category=EVENT
16,355,공통,[커뮤니케이션센터] 대학 공식 캐릭터 개발을 위한 시안...,전체관리자,2019-05-16,755,https://www.khu.ac.kr/kor/notice/detail.do?seq=2113830&page=2&category=EVENT
17,354,공통,경희 70주년 기념식 안내,경희미래위원회사무국,2019-05-16,461,https://www.khu.ac.kr/kor/notice/detail.do?seq=2113805&page=2&category=EVENT
18,353,국제,"[혜정박물관]2019 단오부채 만들기 행사안내 ""바람은...",혜정박물관,2019-05-13,351,https://www.khu.ac.kr/kor/notice/detail.do?seq=2113592&page=2&category=EVENT
19,352,서울,중앙도서관 제50회 작은음악회 개최[5/15(수) 낮 ...,중앙도서관(서울),2019-05-01,480,https://www.khu.ac.kr/kor/notice/detail.do?seq=2113242&page=2&category=EVENT
20,351,공통,경희가족 『특별할인』 안내(뮤지컬 레미제라블),대외협력처(서울),2019-04-24,2040,https://www.khu.ac.kr/kor/notice/detail.do?seq=2112957&page=3&category=EVENT
21,350,공통,[도서관]Cambridge University Pres...,중앙도서관(서울),2019-04-22,575,https://www.khu.ac.kr/kor/notice/detail.do?seq=2112825&page=3&category=EVENT
22,349,공통,2019 교육대학원 후기 석사과정 신입생 모집 안내,교육대학원,2019-04-12,256,https://www.khu.ac.kr/kor/notice/detail.do?seq=2112424&page=3&category=EVENT
23,348,서울,[미래인재센터 명사특강 제2탄] MBC 배철수의 음악캠...,미래인재센터(서울),2019-04-05,589,https://www.khu.ac.kr/kor/notice/detail.do?seq=2112291&page=3&category=EVENT
24,347,서울,[미래인재센터 명사특강 제1탄] 방송인 박슬기 - 4....,미래인재센터(서울),2019-03-29,497,https://www.khu.ac.kr/kor/notice/detail.do?seq=2112161&page=3&category=EVENT
25,346,서울,대학생 중소기업 바로알기 토크콘서트 - 3.22(금) ...,미래인재센터(서울),2019-03-18,473,https://www.khu.ac.kr/kor/notice/detail.do?seq=2111615&page=3&category=EVENT
26,345,공통,경희 70주년 기념 와인 안내,경희미래위원회사무국,2019-03-14,2490,https://www.khu.ac.kr/kor/notice/detail.do?seq=2111452&page=3&category=EVENT
27,344,공통,"토크콘서트 ""BTS를 사유하다"" (연사: 임진모) 개최...",학생지원센터 학생지원팀(서울),2018-12-19,1713,https://www.khu.ac.kr/kor/notice/detail.do?seq=2108355&page=3&category=EVENT
28,343,공통,2018학년도 동아시아 Field Study(한일 역사...,후마니타스칼리지(서울),2018-12-11,1528,https://www.khu.ac.kr/kor/notice/detail.do?seq=2108102&page=3&category=EVENT
29,342,공통,"Magnolia 2018(목련회의, 목련음악회)에 정...",대외협력처(서울),2018-12-05,2101,https://www.khu.ac.kr/kor/notice/detail.do?seq=2107999&page=3&category=EVENT
30,341,공통,2019년도 동계(제50차) 대학생을 위한 외교부 워크...,학생지원센터 학생지원팀(서울),2018-11-30,1027,https://www.khu.ac.kr/kor/notice/detail.do?seq=2107792&page=4&category=EVENT
31,340,서울,2018학년도 후마니타스칼리지 예술축전 개최 안내,후마니타스칼리지(서울),2018-11-23,896,https://www.khu.ac.kr/kor/notice/detail.do?seq=2107561&page=4&category=EVENT
32,339,공통,[창업교육센터] 창업 CEO 동문 토크쇼,LINC+ 사업단,2018-11-19,820,https://www.khu.ac.kr/kor/notice/detail.do?seq=2107374&page=4&category=EVENT
33,338,공통,슬럼프 극복 세미나 '혹시...너도 슬럼프?' 안내,심리상담연구소(서울),2018-11-12,882,https://www.khu.ac.kr/kor/notice/detail.do?seq=2107145&page=4&category=EVENT
