,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
0,공지,국제,2019학년도 국제캠퍼스 예비군 보충훈련 안내(훈련장 ...,연대본부(국제),2019-10-01,90,https://www.khu.ac.kr/kor/notice/detail.do?seq=2131430&page=1&category=GENERAL
1,공지,공통,[추천채용] 동원그룹 경영진비서 채용,미래인재센터(국제),2019-10-01,41,https://www.khu.ac.kr/kor/notice/detail.do?seq=2131428&page=1&category=GENERAL
2,공지,국제,[공학교육혁신센터] 2019 공학페스티벌 'AI 사물인...,공학교육혁신센터,2019-10-01,46,https://www.khu.ac.kr/kor/notice/detail.do?seq=2131423&page=1&category=GENERAL
3,공지,서울,장애인식개선봉사단 해피플러스 단원 모집 안내,장애학생지원센터,2019-10-01,38,https://www.khu.ac.kr/kor/notice/detail.do?seq=2131419&page=1&category=GENERAL
4,공지,국제,[추천채용] ASE KOREA 2019년도 하반기 인턴...,미래인재센터(국제),2019-09-30,121,https://www.khu.ac.kr/kor/notice/detail.do?seq=2131412&page=1&category=GENERAL
5,공지,국제,[추천채용] LG히다찌(주) 머신러닝 엔지니어 채용,미래인재센터(국제),2019-09-30,63,https://www.khu.ac.kr/kor/notice/detail.do?seq=2131410&page=1&category=GENERAL
6,공지,국제,[글로벌봉사팀] (국제) 2019 멘토링 Talk 콘...,글로벌봉사팀,2019-09-30,121,https://www.khu.ac.kr/kor/notice/detail.do?seq=2131398&page=1&category=GENERAL
7,공지,국제,2019-2학기 담임교수제(진로상담교수제-CCP) 시행...,미래인재센터(국제),2019-09-30,93,https://www.khu.ac.kr/kor/notice/detail.do?seq=2131396&page=1&category=GENERAL
8,공지,서울,[글로벌봉사팀] (서울) 2019 멘토링 Talk 콘서...,글로벌봉사팀,2019-09-30,98,https://www.khu.ac.kr/kor/notice/detail.do?seq=2131395&page=1&category=GENERAL
9,공지,공통,[추천채용][귀뚜라미에너지]경영관리 (정규직) 추천채용...,미래인재센터(서울),2019-09-27,284,https://www.khu.ac.kr/kor/notice/detail.do?seq=2131363&page=1&category=GENERAL
10,공지,공통,2020 교육대학원 전기 석사과정 신입생 모집 안내,교육대학원,2019-09-27,172,https://www.khu.ac.kr/kor/notice/detail.do?seq=2131358&page=2&category=GENERAL
