,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
0,공지,서울,2019-2학기 후마니타스칼리지 강좌 추가 개설 안내(...,후마니타스칼리지(서울),2019-09-04,246,https://www.khu.ac.kr/kor/notice/detail.do?seq=2130670&page=1&category=SCHEDULE
1,공지,서울,2018학년도 2학기 후마니타스칼리지 추가 개설 안내,후마니타스칼리지(서울),2018-09-05,2020,https://www.khu.ac.kr/kor/notice/detail.do?seq=112510&page=1&category=SCHEDULE
2,공지,서울,2018학년도 2학기 후마니타스칼리지 추가 개설 안내,후마니타스칼리지(서울),2018-08-03,1248,https://www.khu.ac.kr/kor/notice/detail.do?seq=112210&page=1&category=SCHEDULE
3,공지,국제,[국제대학]2018-2학기 국제대학 개설 강좌 강의시간...,국제대학,2018-07-24,1331,https://www.khu.ac.kr/kor/notice/detail.do?seq=112109&page=1&category=SCHEDULE
4,공지,국제,[국제후마] 2018학년도 2학기 후마니타스칼리지 강의...,후마니타스칼리지(국제),2018-07-04,1832,https://www.khu.ac.kr/kor/notice/detail.do?seq=111931&page=1&category=SCHEDULE
5,공지,국제,2018학년도 하계계절학기 국제 후마니타스칼리지 강좌 ...,후마니타스칼리지(국제),2018-06-15,1036,https://www.khu.ac.kr/kor/notice/detail.do?seq=111762&page=1&category=SCHEDULE
6,공지,서울,2018 하계계절학기 교양 추가 개설 안내,후마니타스칼리지(서울),2018-06-14,1502,https://www.khu.ac.kr/kor/notice/detail.do?seq=111754&page=1&category=SCHEDULE
7,공지,국제,[국제후마] 2018학년도 1학기 후마니타스칼리지 강의...,후마니타스칼리지(국제),2018-03-05,998,https://www.khu.ac.kr/kor/notice/detail.do?seq=111023&page=1&category=SCHEDULE
8,공지,국제,[국제대학]2018-1학기 국제대학 개설 강좌 변경 사...,국제대학,2018-02-21,1213,https://www.khu.ac.kr/kor/notice/detail.do?seq=110913&page=1&category=SCHEDULE
9,공지,국제,[국제후마] 2018학년도 1학기 후마니타스칼리지 추가...,후마니타스칼리지(국제),2018-02-21,1244,https://www.khu.ac.kr/kor/notice/detail.do?seq=110908&page=1&category=SCHEDULE
10,공지,서울,[후마] 2018학년도 1학기 후마니타스칼리지 추가 개...,후마니타스칼리지(서울),2018-02-19,1594,https://www.khu.ac.kr/kor/notice/detail.do?seq=110873&page=2&category=SCHEDULE
11,공지,국제,[국제대학]2018-1학기 국제대학 개설 강좌 추가 안...,국제대학,2018-02-19,706,https://www.khu.ac.kr/kor/notice/detail.do?seq=110864&page=2&category=SCHEDULE
12,공지,공통,2018학년도 1학기 응용과학대학 개설과목 변경사항(요...,응용과학대학,2018-02-02,745,https://www.khu.ac.kr/kor/notice/detail.do?seq=110737&page=2&category=SCHEDULE
13,공지,국제,[국제대학]2018-1학기 국제대학 개설 강좌 변경 사...,국제대학,2018-01-26,879,https://www.khu.ac.kr/kor/notice/detail.do?seq=110694&page=2&category=SCHEDULE
14,공지,서울,2018학년도 1학기 정경대학 개설과목 변경사항 안내(...,정경대학,2018-01-25,975,https://www.khu.ac.kr/kor/notice/detail.do?seq=110685&page=2&category=SCHEDULE
15,공지,국제,2018학년도 1학기 응용과학대학 개설과목 변경사항(시...,응용과학대학,2018-01-18,581,https://www.khu.ac.kr/kor/notice/detail.do?seq=110634&page=2&category=SCHEDULE
16,공지,서울,[후마] 2018학년도 1학기 후마니타스칼리지 강의정보...,후마니타스칼리지(서울),2018-01-16,1330,https://www.khu.ac.kr/kor/notice/detail.do?seq=110605&page=2&category=SCHEDULE
17,공지,국제,2018학년도 1학기 응용과학대학 개설과목 변경사항(일...,응용과학대학,2018-01-12,529,https://www.khu.ac.kr/kor/notice/detail.do?seq=110590&page=2&category=SCHEDULE
18,공지,서울,2018학년도 1학기 정경대학 개설과목 변경사항(폐강)...,정경대학,2018-01-05,750,https://www.khu.ac.kr/kor/notice/detail.do?seq=110534&page=2&category=SCHEDULE
19,공지,서울,2017학년도 동계 계절학기 서울 후마니타스칼리지 추가...,후마니타스칼리지(서울),2017-12-15,819,https://www.khu.ac.kr/kor/notice/detail.do?seq=110380&page=2&category=SCHEDULE
20,공지,국제,2017학년도 동계계절학기 국제 후마니타스칼리지 강좌변...,후마니타스칼리지(국제),2017-12-08,771,https://www.khu.ac.kr/kor/notice/detail.do?seq=110309&page=3&category=SCHEDULE
21,공지,서울,2017학년도 2학기 후마니타스칼리지 개설강좌 변경사항...,후마니타스칼리지(서울),2017-09-06,823,https://www.khu.ac.kr/kor/notice/detail.do?seq=109773&page=3&category=SCHEDULE
22,공지,국제,[국제대학]2017-2학기 강의실 변경 안내,국제대학,2017-09-05,474,https://www.khu.ac.kr/kor/notice/detail.do?seq=109758&page=3&category=SCHEDULE
23,공지,서울,2017학년도 2학기 후마니타스칼리지 추가개설 안내,후마니타스칼리지(서울),2017-09-04,500,https://www.khu.ac.kr/kor/notice/detail.do?seq=109750&page=3&category=SCHEDULE
24,공지,국제,2017학년도 2학기 후마니타스칼리지 교양 변경 사항...,후마니타스칼리지(국제),2017-08-31,711,https://www.khu.ac.kr/kor/notice/detail.do?seq=109729&page=3&category=SCHEDULE
25,공지,서울,2017학년도 2학기 정경대학 개설과목 변경사항 안내,정경대학,2017-08-30,552,https://www.khu.ac.kr/kor/notice/detail.do?seq=109706&page=3&category=SCHEDULE
26,공지,국제,[국제대학]2017-2학기 개설강좌 변경(교강사 변경)...,국제대학,2017-08-29,472,https://www.khu.ac.kr/kor/notice/detail.do?seq=109690&page=3&category=SCHEDULE
27,공지,서울,2017학년도 2학기 정경대학 개설과목 폐강 안내(20...,정경대학,2017-08-28,452,https://www.khu.ac.kr/kor/notice/detail.do?seq=109670&page=3&category=SCHEDULE
28,공지,서울,2017학년도 2학기 후마니타스칼리지 개설강좌 변경사항...,후마니타스칼리지(서울),2017-08-24,680,https://www.khu.ac.kr/kor/notice/detail.do?seq=109649&page=3&category=SCHEDULE
29,공지,서울,2017학년도 2학기 후마니타스칼리지 개설강좌 추가 안...,후마니타스칼리지(서울),2017-08-21,615,https://www.khu.ac.kr/kor/notice/detail.do?seq=109595&page=3&category=SCHEDULE
30,공지,국제,[국제대학] 2017-2학기 개설강좌 변경(전공필수 I...,국제대학,2017-07-17,1260,https://www.khu.ac.kr/kor/notice/detail.do?seq=109305&page=4&category=SCHEDULE
31,공지,서울,2017학년도 1학기 후마니타스칼리지 개설강좌 변경사항...,후마니타스칼리지(서울),2017-03-09,1156,https://www.khu.ac.kr/kor/notice/detail.do?seq=108364&page=4&category=SCHEDULE
32,공지,국제,[국제대학]2017-1학기 국제대학 개설 강좌 추가 안...,국제대학,2017-03-03,817,https://www.khu.ac.kr/kor/notice/detail.do?seq=108318&page=4&category=SCHEDULE
33,공지,서울,2017학년도 1학기 후마니타스칼리지 개설강좌 변경사항...,후마니타스칼리지(서울),2017-03-02,774,https://www.khu.ac.kr/kor/notice/detail.do?seq=108280&page=4&category=SCHEDULE
34,공지,서울,2017학년도 1학기 후마니타스칼리지 개설강좌 변경사항...,후마니타스칼리지(서울),2017-02-24,693,https://www.khu.ac.kr/kor/notice/detail.do?seq=108238&page=4&category=SCHEDULE
35,공지,서울,2017학년도 1학기 정경대학 개설과목 변경사항 안내,정경대학,2017-02-23,644,https://www.khu.ac.kr/kor/notice/detail.do?seq=108231&page=4&category=SCHEDULE
36,공지,서울,2017학년도 1학기 후마니타스칼리지 개설강좌 변경사항...,후마니타스칼리지(서울),2017-02-01,2051,https://www.khu.ac.kr/kor/notice/detail.do?seq=107991&page=4&category=SCHEDULE
37,공지,서울,2017학년도 1학기 후마니타스칼리지 개설강좌 신규개설...,후마니타스칼리지(서울),2017-01-26,1637,https://www.khu.ac.kr/kor/notice/detail.do?seq=107966&page=4&category=SCHEDULE
38,공지,서울,2017학년도 1학기 후마니타스칼리지 개설강좌 강의시간...,후마니타스칼리지(서울),2017-01-23,1212,https://www.khu.ac.kr/kor/notice/detail.do?seq=107931&page=4&category=SCHEDULE
39,공지,서울,2017학년도 1학기 후마니타스칼리지 개설과목 폐강 안...,후마니타스칼리지(서울),2017-01-17,1259,https://www.khu.ac.kr/kor/notice/detail.do?seq=107895&page=4&category=SCHEDULE
40,공지,서울,2017학년도 1학기 후마니타스칼리지 개설과목 변경사항...,후마니타스칼리지(서울),2017-01-06,1481,https://www.khu.ac.kr/kor/notice/detail.do?seq=107828&page=5&category=SCHEDULE
41,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 강의실 ...,후마니타스칼리지(서울),2016-09-09,1030,https://www.khu.ac.kr/kor/notice/detail.do?seq=107082&page=5&category=SCHEDULE
42,공지,국제,2016학년도 2학기 후마니타스칼리지 교양 추가 개설 ...,후마니타스칼리지(국제),2016-09-07,1238,https://www.khu.ac.kr/kor/notice/detail.do?seq=107062&page=5&category=SCHEDULE
43,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 강의실 ...,후마니타스칼리지(서울),2016-09-06,508,https://www.khu.ac.kr/kor/notice/detail.do?seq=107047&page=5&category=SCHEDULE
44,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 강의실 ...,후마니타스칼리지(서울),2016-09-05,426,https://www.khu.ac.kr/kor/notice/detail.do?seq=107040&page=5&category=SCHEDULE
45,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 강의실 ...,후마니타스칼리지(서울),2016-09-01,521,https://www.khu.ac.kr/kor/notice/detail.do?seq=106996&page=5&category=SCHEDULE
46,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 교강사 ...,후마니타스칼리지(서울),2016-08-26,637,https://www.khu.ac.kr/kor/notice/detail.do?seq=106943&page=5&category=SCHEDULE
47,공지,서울,2016학년도 2학기 후마니타스칼리지 교양 추가 개설 ...,후마니타스칼리지(서울),2016-08-23,617,https://www.khu.ac.kr/kor/notice/detail.do?seq=106899&page=5&category=SCHEDULE
48,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 교강사 ...,후마니타스칼리지(서울),2016-08-22,572,https://www.khu.ac.kr/kor/notice/detail.do?seq=106886&page=5&category=SCHEDULE
49,공지,국제,[국제대학]2016-2학기 강좌 추가 개설 안내,국제대학,2016-08-18,713,https://www.khu.ac.kr/kor/notice/detail.do?seq=106870&page=5&category=SCHEDULE
50,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 교강사 ...,후마니타스칼리지(서울),2016-08-11,545,https://www.khu.ac.kr/kor/notice/detail.do?seq=106802&page=6&category=SCHEDULE
51,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 교강사 ...,후마니타스칼리지(서울),2016-08-10,515,https://www.khu.ac.kr/kor/notice/detail.do?seq=106789&page=6&category=SCHEDULE
52,공지,국제,[국제대학]2016학년도 2학기 시간표 변경 안내,국제대학,2016-08-03,1056,https://www.khu.ac.kr/kor/notice/detail.do?seq=106718&page=6&category=SCHEDULE
53,공지,서울,2016학년도 2학기 후마니타스칼리지 교양 추가 개설 ...,후마니타스칼리지(서울),2016-08-01,873,https://www.khu.ac.kr/kor/notice/detail.do?seq=106703&page=6&category=SCHEDULE
54,공지,서울,2016학년도 2학기 후마니타스칼리지 강좌 추가 개설 ...,후마니타스칼리지(서울),2016-08-01,687,https://www.khu.ac.kr/kor/notice/detail.do?seq=106702&page=6&category=SCHEDULE
55,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 강의시간...,후마니타스칼리지(서울),2016-08-01,633,https://www.khu.ac.kr/kor/notice/detail.do?seq=106694&page=6&category=SCHEDULE
56,공지,서울,서울 2016학년도 2학기 후마니타스칼리지 교양 추가 ...,후마니타스칼리지(서울),2016-07-29,633,https://www.khu.ac.kr/kor/notice/detail.do?seq=106686&page=6&category=SCHEDULE
57,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 시간표 ...,후마니타스칼리지(서울),2016-07-28,538,https://www.khu.ac.kr/kor/notice/detail.do?seq=106670&page=6&category=SCHEDULE
58,공지,서울,2016학년도 2학기 무용학부 시간표 강의실 변경 사항,무용학부,2016-07-22,405,https://www.khu.ac.kr/kor/notice/detail.do?seq=106621&page=6&category=SCHEDULE
59,공지,서울,2016학년도 2학기 의과대학 시간표 변경 안내,의과대학,2016-07-19,503,https://www.khu.ac.kr/kor/notice/detail.do?seq=106587&page=6&category=SCHEDULE
60,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 강의시간...,후마니타스칼리지(서울),2016-07-19,656,https://www.khu.ac.kr/kor/notice/detail.do?seq=106579&page=7&category=SCHEDULE
61,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 강의시간...,후마니타스칼리지(서울),2016-07-15,606,https://www.khu.ac.kr/kor/notice/detail.do?seq=106557&page=7&category=SCHEDULE
62,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 강의시간...,후마니타스칼리지(서울),2016-07-11,577,https://www.khu.ac.kr/kor/notice/detail.do?seq=106508&page=7&category=SCHEDULE
63,공지,서울,2016학년도 2학기 후마니타스칼리지 개설강좌 강의시간...,후마니타스칼리지(서울),2016-07-05,702,https://www.khu.ac.kr/kor/notice/detail.do?seq=106471&page=7&category=SCHEDULE
64,공지,국제,[국제대학]2016-2학기 개설 강좌 변경 안내,국제대학,2016-06-29,719,https://www.khu.ac.kr/kor/notice/detail.do?seq=106420&page=7&category=SCHEDULE
65,공지,서울,[후마니타스칼리지]신입생세미나 강의실 변경 안내,후마니타스 칼리지,2016-03-14,485,https://www.khu.ac.kr/kor/notice/detail.do?seq=105707&page=7&category=SCHEDULE
66,공지,서울,2016학년도 1학기 무용학부 시간표 강의실 변경 사항,무용학부,2016-03-08,378,https://www.khu.ac.kr/kor/notice/detail.do?seq=105661&page=7&category=SCHEDULE
67,공지,서울,2016학년도 1학기 무용학부 개설과목 변경사항 안내(...,무용학부,2016-02-29,344,https://www.khu.ac.kr/kor/notice/detail.do?seq=105561&page=7&category=SCHEDULE
68,공지,서울,2016학년도 1학기 정경대학 개설과목 변경사항 안내 ...,정경대학,2016-02-29,644,https://www.khu.ac.kr/kor/notice/detail.do?seq=105560&page=7&category=SCHEDULE
69,공지,서울,2016학년도 1학기 후마니타스칼리지 교양 추가 개설 ...,후마니타스칼리지(서울),2016-02-26,877,https://www.khu.ac.kr/kor/notice/detail.do?seq=105553&page=7&category=SCHEDULE
70,공지,서울,2016학년도 1학기 경영대학 개설강좌 강의시간 변경...,경영대학,2016-01-27,1800,https://www.khu.ac.kr/kor/notice/detail.do?seq=105241&page=8&category=SCHEDULE
71,공지,서울,2016-1 생활과학대학 개설강좌 강의시간 변경안내(4...,생활과학대학,2016-01-26,764,https://www.khu.ac.kr/kor/notice/detail.do?seq=105235&page=8&category=SCHEDULE
72,공지,서울,2016-1 생활과학대학 개설강좌 강의시간 변경안내(3...,생활과학대학,2016-01-20,579,https://www.khu.ac.kr/kor/notice/detail.do?seq=105170&page=8&category=SCHEDULE
73,공지,서울,2016학년도 1학기 무용학부 개설과목 변경사항 안내,무용학부,2016-01-20,371,https://www.khu.ac.kr/kor/notice/detail.do?seq=105169&page=8&category=SCHEDULE
74,공지,공통,서울-국제 캠퍼스 간 교차화상강의 개설 안내 (경영대학...,경영대학,2016-01-19,3478,https://www.khu.ac.kr/kor/notice/detail.do?seq=105158&page=8&category=SCHEDULE
75,공지,서울,2016-1 생활과학대학 개설강좌 강의시간 변경안내(2...,생활과학대학,2016-01-14,485,https://www.khu.ac.kr/kor/notice/detail.do?seq=105140&page=8&category=SCHEDULE
76,공지,서울,2016학년도 1학기 정경대학 개설과목 변경사항 안내,정경대학,2016-01-04,897,https://www.khu.ac.kr/kor/notice/detail.do?seq=105055&page=8&category=SCHEDULE
77,공지,서울,2016-1 약학대학 개설강좌 변경사항 안내,약학대학,2015-12-22,431,https://www.khu.ac.kr/kor/notice/detail.do?seq=104991&page=8&category=SCHEDULE
78,공지,서울,2016학년도 1학기 경영대학 개설강좌 강의시간 변경 ...,경영대학,2015-12-21,677,https://www.khu.ac.kr/kor/notice/detail.do?seq=104981&page=8&category=SCHEDULE
79,공지,서울,2016-1 생활과학대학 개설강좌 강의시간 변경안내,생활과학대학,2015-12-21,468,https://www.khu.ac.kr/kor/notice/detail.do?seq=104975&page=8&category=SCHEDULE
80,공지,서울,2015학년도 2학기 정경대학 개설과목 변경사항 안내,정경대학,2015-08-24,1056,https://www.khu.ac.kr/kor/notice/detail.do?seq=104149&page=9&category=SCHEDULE
81,공지,서울,2015-2학기 자율전공학과 [채권법각론] 강의실 변경...,법과대학,2015-08-24,519,https://www.khu.ac.kr/kor/notice/detail.do?seq=104145&page=9&category=SCHEDULE
82,공지,서울,서울-국제 캠퍼스 간 교차화상강의 개설 안내 (경영대학...,경영대학,2015-07-24,3793,https://www.khu.ac.kr/kor/notice/detail.do?seq=103929&page=9&category=SCHEDULE
83,공지,서울,서울-국제 캠퍼스 간 교차화상강의 개설 안내(경영대학 ...,경영대학,2015-02-02,5710,https://www.khu.ac.kr/kor/notice/detail.do?seq=102706&page=9&category=SCHEDULE
84,공지,공통,『시간표 변경』 게시판 안내,관리자,2014-01-04,8803,https://www.khu.ac.kr/kor/notice/detail.do?seq=100046&page=9&category=SCHEDULE
85,39,국제,2019학년도 2학기 후마니타스칼리지 강의정보 변경 및...,후마니타스칼리지(국제),2019-08-23,451,https://www.khu.ac.kr/kor/notice/detail.do?seq=2130053&page=9&category=SCHEDULE
86,38,서울,2019-2학기 후마니타스칼리지 강좌 추가 개설 안내(...,후마니타스칼리지(서울),2019-08-14,578,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129664&page=9&category=SCHEDULE
87,37,국제,2019학년도 2학기 후마니타스칼리지 강의정보 변경 및...,후마니타스칼리지(국제),2019-08-12,449,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129531&page=9&category=SCHEDULE
88,36,서울,2019-2학기 후마니타스칼리지 강좌 추가 개설 안내,후마니타스칼리지(서울),2019-08-06,691,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129326&page=9&category=SCHEDULE
89,35,국제,2019학년도 2학기 후마니타스칼리지 강의정보 변경 안...,후마니타스칼리지(국제),2019-08-05,605,https://www.khu.ac.kr/kor/notice/detail.do?seq=2129300&page=9&category=SCHEDULE
90,34,국제,2019학년도 하계 계절학기 추가 개설 안내(물리학및실...,교무처 교직과(국제),2019-06-19,38,https://www.khu.ac.kr/kor/notice/detail.do?seq=2127446&page=10&category=SCHEDULE
91,33,국제,2019학년도 하계계절학기 후마니타스칼리지 추가 개설 ...,후마니타스칼리지(국제),2019-06-12,205,https://www.khu.ac.kr/kor/notice/detail.do?seq=2126846&page=10&category=SCHEDULE
92,32,서울,[후마] 2019학년도 1학기 후마니타스칼리지 신규과목...,후마니타스칼리지(서울),2019-01-31,1912,https://www.khu.ac.kr/kor/notice/detail.do?seq=2109635&page=10&category=SCHEDULE
93,31,국제,[국제후마]2019-1학기 후마니타스칼리지 강좌 변경사...,후마니타스칼리지(국제),2019-01-30,1570,https://www.khu.ac.kr/kor/notice/detail.do?seq=2109619&page=10&category=SCHEDULE
94,30,국제,2019학년도 1학기 후마니타스칼리지 강의정보 변경 안...,후마니타스칼리지(국제),2019-01-17,1282,https://www.khu.ac.kr/kor/notice/detail.do?seq=2109263&page=10&category=SCHEDULE
95,29,국제,2018학년도 동계 계절제 수업 추가 개설 안내(글...,교무처 교직과(국제),2018-12-14,309,https://www.khu.ac.kr/kor/notice/detail.do?seq=2108235&page=10&category=SCHEDULE
96,28,국제,2018학년도 동계계절학기 국제 후마니타스칼리지 강좌 ...,후마니타스칼리지(국제),2018-12-12,553,https://www.khu.ac.kr/kor/notice/detail.do?seq=2108164&page=10&category=SCHEDULE
